source,comparison,feature,MWW_pval,MWW_qval,FC,Log2FC,Log10FC,diffmean,source_true_summary,source_false_summary
Sex,Male_vs_Female,antibiotic,0.5236824432807352,,1.2490769315928425,0.32086233636097716,0.09658918772347984,0.009438684415722605,0.05 ± 0.05,0.04 ± 0.03
Sex,Male_vs_Female,base_temp,0.05803681662383935,,1.0017480733782709,0.0025197350941043163,0.0007585158444526036,0.06325597749648892,36.25 ± 0.23,36.19 ± 0.23
Sex,Male_vs_Female,comp_cookies.ruti.bread,0.8849211737918569,,0.9577565064158764,-0.06226917341123264,-0.018744889001983053,-0.0020073482024150074,0.05 ± 0.07,0.05 ± 0.08
Sex,Male_vs_Female,comp_halwa,0.4845348513871802,,1.4202846599388095,0.5061801102400856,0.1523753963907665,0.00016901509213312205,0.0 ± 0.0,0.0 ± 0.0
Sex,Male_vs_Female,comp_khichuri,0.48126283051182894,,1.055092128474521,0.07736897759624188,0.02329038299032335,0.0020257815618736352,0.04 ± 0.07,0.04 ± 0.08
Sex,Male_vs_Female,comp_none,0.41356805877230807,,1.3679342389623115,0.451998876858789,0.13606521994092563,0.006193171965020276,0.02 ± 0.07,0.02 ± 0.05
Sex,Male_vs_Female,comp_others,0.7359575229920027,,1.4126283742859727,0.49838198011553186,0.15002792531318493,0.017090893027232157,0.06 ± 0.15,0.04 ± 0.09
Sex,Male_vs_Female,comp_rice.and.curry,0.3116922212459785,,0.906401011060133,-0.14177862444977837,-0.042679618703361996,-0.06822410290451664,0.66 ± 0.31,0.73 ± 0.26
Sex,Male_vs_Female,comp_suji,0.332309233176559,,1.3523267592511519,0.43544378844949144,0.13108164174885792,0.04409136462249702,0.17 ± 0.26,0.13 ± 0.23
Sex,Male_vs_Female,comp_tea.drinks.juice,0.9701577461595182,,1.2192803498022071,0.2860298837653628,0.08610357466965622,0.0006612248381755443,0.0 ± 0.01,0.0 ± 0.01
Sex,Male_vs_Female,cough,0.4021543827738212,,1.1634198025778497,0.21837176561142166,0.06573645165514216,0.006462793992059533,0.05 ± 0.05,0.04 ± 0.05
Sex,Male_vs_Female,days_to_recovery,,,0.9836616123453059,-0.023765992892370538,-0.007154276737340511,-0.8603006189213076,51.79 ± 18.71,52.66 ± 25.13
Sex,Male_vs_Female,diarrhoea,0.06443212674022607,,1.5910931504121177,0.6700183005989958,0.20169560612410375,0.012779765100921305,0.03 ± 0.07,0.02 ± 0.04
Sex,Male_vs_Female,fail_child.is.sick,0.05147184466870904,,0.46961493321286524,-1.0904498096727804,-0.3282581014775862,-0.004611249081249558,0.0 ± 0.01,0.01 ± 0.02
Sex,Male_vs_Female,fail_child.or.parents.not.at.home,0.8584589013387393,,0.9597814625606407,-0.05922214610716834,-0.017827642385852546,-0.0011986431632168768,0.03 ± 0.07,0.03 ± 0.08
Sex,Male_vs_Female,fail_child.refused.to.take,0.11821697304567043,,0.6650362453528685,-0.5884951233474467,-0.17715468442955595,-0.00609093090362085,0.01 ± 0.04,0.02 ± 0.05
Sex,Male_vs_Female,fail_child.vomiting,0.9199926612092691,,0.39226795084066035,-1.3500886260337401,-0.4064171732409271,-0.0003738792805175619,0.0 ± 0.0,0.0 ± 0.0
Sex,Male_vs_Female,fail_no.failure,0.36640874503651333,,1.022416794462811,0.03198343964599262,0.009627974697952364,0.020836938556938467,0.95 ± 0.09,0.93 ± 0.14
Sex,Male_vs_Female,fail_other,0.20116123845757394,,0.31485772532626827,-1.6672280292411878,-0.5018856464133427,-0.0007975215985583303,0.0 ± 0.0,0.0 ± 0.01
Sex,Male_vs_Female,fail_parents.refused.to.feed,0.7177827409391832,,0.3537998579234668,-1.4989946262065066,-0.4512423458272758,-0.00776471452977549,0.0 ± 0.03,0.01 ± 0.08
Sex,Male_vs_Female,fever,0.514801795468146,,0.7650511042440477,-0.3863719740403113,-0.11630955367003877,-0.00014840124812520814,0.0 ± 0.0,0.0 ± 0.0
Sex,Male_vs_Female,ors,0.18816460107384936,,1.4411653493880578,0.5272358699033071,0.15871381163088788,0.003156185232912735,0.01 ± 0.01,0.01 ± 0.01
Sex,Male_vs_Female,rash,0.44346283640886275,,0.3847425543425493,-1.378034687546402,-0.4148297760169091,-0.0027642986204331173,0.0 ± 0.01,0.0 ± 0.02
Sex,Male_vs_Female,zinc,0.3688819114323645,,1.2425808727881997,0.313339751967469,0.09432466417612013,0.0006076681843446017,0.0 ± 0.01,0.0 ± 0.01
Ethnicity,Bengali_vs_Bihari,antibiotic,0.6878718446457062,,1.085132198582089,0.11787081282712371,0.03548265027425899,0.0033885411087422046,0.04 ± 0.05,0.04 ± 0.03
Ethnicity,Bengali_vs_Bihari,base_temp,0.06715832306959366,,0.9967423721036935,-0.004707435317158955,-0.0014170792331128321,-0.11833333333333229,36.21 ± 0.23,36.32 ± 0.27
Ethnicity,Bengali_vs_Bihari,comp_cookies.ruti.bread,0.22930566727836088,,0.5733181001691607,-0.8025922679490797,-0.24160434694065627,-0.03205536936712594,0.04 ± 0.07,0.08 ± 0.1
Ethnicity,Bengali_vs_Bihari,comp_halwa,0.39614302877083785,,inf,inf,inf,0.0005487110059564222,0.0 ± 0.0,0.0 ± 0.0
Ethnicity,Bengali_vs_Bihari,comp_khichuri,0.08915206703973175,,7.527992304906033,2.912265153348121,0.8766791664847484,0.036124616592666116,0.04 ± 0.08,0.01 ± 0.01
Ethnicity,Bengali_vs_Bihari,comp_none,0.4346799272774281,,0.7373636828670387,-0.43955173329410074,-0.13231825636761857,-0.006889435045828576,0.02 ± 0.06,0.03 ± 0.07
Ethnicity,Bengali_vs_Bihari,comp_others,0.5734784982399941,,0.4631631921488337,-1.1104074888277669,-0.33426596154707494,-0.051987133674555375,0.04 ± 0.1,0.1 ± 0.24
Ethnicity,Bengali_vs_Bihari,comp_rice.and.curry,0.7878663005719223,,0.9503944713354143,-0.07340165121520303,-0.022096098747041628,-0.03598257611656375,0.69 ± 0.29,0.73 ± 0.28
Ethnicity,Bengali_vs_Bihari,comp_suji,0.06956056955920997,,2.2323682700140757,1.1585750457587964,0.3487658410011673,0.08690256079565678,0.16 ± 0.25,0.07 ± 0.22
Ethnicity,Bengali_vs_Bihari,comp_tea.drinks.juice,0.235566819747156,,9.867390150813492,3.302668553337152,0.9942023002906499,0.0033386258097941983,0.0 ± 0.01,0.0 ± 0.0
Ethnicity,Bengali_vs_Bihari,cough,0.4966592086024796,,1.4230108876398886,0.5089467001525078,0.15320822294010691,0.013176118144942607,0.04 ± 0.05,0.03 ± 0.03
Ethnicity,Bengali_vs_Bihari,days_to_recovery,,,1.093058325631172,0.12837038532252487,0.03864333653702326,4.480093676814988,52.62 ± 20.95,48.14 ± 27.45
Ethnicity,Bengali_vs_Bihari,diarrhoea,0.7714367679736162,,0.7655501180700613,-0.3854312655302998,-0.11602637219134894,-0.008396453387736067,0.03 ± 0.06,0.04 ± 0.07
Ethnicity,Bengali_vs_Bihari,fail_child.is.sick,0.29338436830147097,,3.0051140984436344,1.58741976835204,0.4778609659839326,0.0045101994173192385,0.01 ± 0.02,0.0 ± 0.01
Ethnicity,Bengali_vs_Bihari,fail_child.or.parents.not.at.home,0.2597669122787736,,0.9509532562735658,-0.07255366715558265,-0.02184083010925098,-0.0014966214238248156,0.03 ± 0.08,0.03 ± 0.08
Ethnicity,Bengali_vs_Bihari,fail_child.refused.to.take,0.7914301025129717,,1.4166661646989418,0.5024998293387298,0.15126752144698913,0.0045528265505196605,0.02 ± 0.04,0.01 ± 0.02
Ethnicity,Bengali_vs_Bihari,fail_child.vomiting,0.493611453586267,,inf,inf,inf,0.00046932862172631564,0.0 ± 0.0,0.0 ± 0.0
Ethnicity,Bengali_vs_Bihari,fail_no.failure,0.33514922315951523,,0.9896657214309623,-0.014986785322671637,-0.004511471920700861,-0.009809244068969658,0.94 ± 0.12,0.95 ± 0.1
Ethnicity,Bengali_vs_Bihari,fail_other,0.7150558331810676,,0.2348993537680131,-2.0898853505324215,-0.6291181780089927,-0.001808273586157529,0.0 ± 0.0,0.0 ± 0.01
Ethnicity,Bengali_vs_Bihari,fail_parents.refused.to.feed,0.46643378502527455,,1.7538428757517008,0.8105195046084188,0.24399068295784448,0.0035817844893867978,0.01 ± 0.06,0.0 ± 0.01
Ethnicity,Bengali_vs_Bihari,fever,0.9019891386502191,,1.288444430428552,0.36563031626314385,0.11006569251931426,0.00012703573030496327,0.0 ± 0.0,0.0 ± 0.0
Ethnicity,Bengali_vs_Bihari,ors,0.6888447503857205,,1.199974882125294,0.26300420765668187,0.07917215549049976,0.0014937991062098505,0.01 ± 0.01,0.01 ± 0.01
Ethnicity,Bengali_vs_Bihari,rash,0.6180284061407315,,1.1925262578531792,0.25402103281989075,0.07646795040833174,0.0005004308460204608,0.0 ± 0.02,0.0 ± 0.01
Ethnicity,Bengali_vs_Bihari,zinc,0.9466708690132417,,0.9563221738558608,-0.0644313675571476,-0.019395774296352516,-0.0001283099966222171,0.0 ± 0.01,0.0 ± 0.01
Feed,Local RUSF (A)_vs_ERUSF (B),antibiotic,0.19862378880578868,,1.1789617803392756,0.23751694969279272,0.07149972633614343,0.007024392965255491,0.05 ± 0.04,0.04 ± 0.04
Feed,Local RUSF (A)_vs_ERUSF (B),base_temp,0.9043661889110455,,1.0000886766679087,0.00012792771701640153,3.851008009875036e-05,0.0032116532116504004,36.22 ± 0.23,36.22 ± 0.23
