Abbreviation	Description
WLZ_WHZ (z-score)	weight-for-height/length z-score
MUAC (cm)	mid-upper arm circumference
HC	head circumferance
feature	The feature being tested.
metadata	"The metadata variable included in the model (e.g., Recovery, Sex, Age)."
value	"The specific level or value of the metadata variable used in the comparison (e.g., ""Recovered"" vs reference)."
name	The model term name corresponding to the metadata variable (often matches the design matrix encoding).
coef	"Estimated model coefficient. In abundance models, represents log2 fold-change per unit increase in the metadata variable; in prevalence models, represents change in log-odds of presence."
null_hypothesis	"The reference value against which the coefficient is tested (typically 0, or the median for certain models)."
stderr	"Standard error of the coefficient estimate, reflecting uncertainty in the effect size."
pval_individual	Raw p-value for the individual association between the feature and metadata variable.
qval_individual	"False Discovery Rate (FDR)-adjusted p-value (q-value) for the individual association, correcting across all tests."
pval_joint	"Combined p-value integrating both abundance and prevalence signals, derived using a Beta(1,2) model on the minimum p-value."
qval_joint	"FDR-corrected version of the joint p-value, used to assess overall association significance."
