12DICHLORETHDEG-PWY	Degradation|CHLORINATED-COMPOUNDS-DEG
14DICHLORBENZDEG-PWY	Degradation|CHLORINATED-COMPOUNDS-DEG|Chloroaromatic-Compounds-Degradation|Chlorobenzene-Degradation
14DICHLORBENZDEG-PWY	Degradation|AROMATIC-COMPOUNDS-DEGRADATION|Chloroaromatic-Compounds-Degradation|Chlorobenzene-Degradation
1CMET2-PWY	Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Folate-Biosynthesis
2AMINOBENZDEG-PWY	Degradation|AROMATIC-COMPOUNDS-DEGRADATION|2-Aminobenzoate-Degradation
2ASDEG-PWY	Degradation|AROMATIC-COMPOUNDS-DEGRADATION
2OXOBUTYRATECAT-PWY	Degradation|CARBOXYLATES-DEG|2-Oxobutanoate-Degradation
2PHENDEG-PWY	Degradation|AMINE-DEG
2PHENDEG-PWY	Degradation|AROMATIC-COMPOUNDS-DEGRADATION|Phenolic-Compounds-Degradation|Phenylethylamine-Degradation
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	Degradation|AROMATIC-COMPOUNDS-DEGRADATION
4-HYDROXYMANDELATE-DEGRADATION-PWY	Degradation|AROMATIC-COMPOUNDS-DEGRADATION
4AMINOBUTMETAB-PWY	Super-Pathways
4AMINOBUTMETAB-PWY	Degradation|AMINE-DEG|4-Aminobutyraye-Degradation
4TOLCARBDEG-PWY	Degradation|AROMATIC-COMPOUNDS-DEGRADATION
6-HYDROXYCINEOLE-DEGRADATION-PWY	Degradation|SECONDARY-METABOLITE-DEGRADATION|TERPENOID-DEG
7ALPHADEHYDROX-PWY	Degradation|Other-Degradation
ACETATEUTIL-PWY	Degradation|CARBOXYLATES-DEG
ACETATEUTIL-PWY	Super-Pathways
ACETOACETATE-DEG-PWY	Degradation|Fatty-Acid-and-Lipid-Degradation
ADENOSYLHOMOCYSCAT-PWY	Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|METHIONINE-SYN|Methionine-Salvage
AEROBACTINSYN-PWY	Biosynthesis|Siderophores-Biosynthesis
ALACAT2-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ALANINE-DEG
ALADEG-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ALANINE-DEG
ALANINE-DEG3-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ALANINE-DEG
ALANINE-SYN2-PWY	Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|ALANINE-SYN
ALANINE-VALINESYN-PWY	Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|ALANINE-SYN
ALKANEMONOX-PWY	Degradation|Noncarbon-Nutrients|Sulfur-Metabolism
ALL-CHORISMATE-PWY	Super-Pathways
ALLANTOINDEG-PWY	Degradation|AMINE-DEG|Allantoin-degradation
ALLANTOINDEG-PWY	Super-Pathways
AMMASSIM-PWY	Degradation|Noncarbon-Nutrients|NITROGEN-DEG|Ammonia-Assimilation
AMMASSIM-PWY	Super-Pathways
AMMOXID-PWY	Degradation|Noncarbon-Nutrients|NITROGEN-DEG|Ammonia-oxidation
AMMOXID-PWY	Energy-Metabolism|CHEMOAUTOTROPHIC-ENERGY-METABOLISM
ANAEROFRUCAT-PWY	Energy-Metabolism|Fermentation
ANAEROFRUCAT-PWY	Super-Pathways
ANAGLYCOLYSIS-PWY	Energy-Metabolism|GLYCOLYSIS-VARIANTS
ANAPHENOXI-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|PHENYLALANINE-DEG
ARABCAT-PWY	Degradation|Carbohydrates-Degradation|Sugars-And-Polysaccharides-Degradation|L-Arabinose-Degradation
ARG-GLU-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ARGININE-DEG
ARG-PRO-PWY	Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|PROLINE-SYN
ARG-PRO-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ARGININE-DEG
ARGASEDEG-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ARGININE-DEG
ARGASEDEG-PWY	Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|GLUTAMATE-SYN
ARGDEG-III-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ARGININE-DEG
ARGDEG-IV-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ARGININE-DEG
ARGDEG-PWY	Super-Pathways
ARGDEG-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ARGININE-DEG
ARGDEG-V-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ARGININE-DEG
ARGDEGRAD-PWY	Super-Pathways
ARGDEGRAD-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ARGININE-DEG
ARGININE-SYN4-PWY	Biosynthesis|Amino-Acid-Biosynthesis|Other-Amino-Acid-Biosynthesis
ARGORNPROST-PWY	Super-Pathways
ARGORNPROST-PWY	Activation-Inactivation-Interconversion|Interconversion
ARGSPECAT-PWY	Biosynthesis|Polyamine-Biosynthesis
ARGSYN-PWY	Super-Pathways
ARGSYN-PWY	Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|ARGININE-SYN
ARGSYNBSUB-PWY	Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|ARGININE-SYN
ARO-PWY	Biosynthesis|AROMATIC-COMPOUNDS-BIOSYN|Chorismate-Biosynthesis
ARO-PWY	Super-Pathways
ASPARAGINE-DEG1-PWY	Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ASPARAGINE-DEG
