"name","selected","shared name"
"fa_20:4","false","fa_20:4"
"fa_26:0;o","false","fa_26:0;o"
"PWY-2942","false","PWY-2942"
"PWY-5695","false","PWY-5695"
"PWY-5659","false","PWY-5659"
"PWY-7400","false","PWY-7400"
"lpc_15:0/0:0","false","lpc_15:0/0:0"
"tg_60:1","false","tg_60:1"
"Family_owns_the_home_they_live_in","false","Family_owns_the_home_they_live_in"
"pc_37:4","false","pc_37:4"
"PWY0-781","false","PWY0-781"
"PWY-7858","false","PWY-7858"
"nae_18:1","false","nae_18:1"
"METSYN-PWY","false","METSYN-PWY"
"Chair","false","Chair"
"ba_24:1;o3;t","false","ba_24:1;o3;t"
"glutamine","false","glutamine"
"hq_read_depth_million_reads","false","hq_read_depth_million_reads"
"Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_right","false","Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_right"
"PWY-6595","false","PWY-6595"
"nagly_24:6","false","nagly_24:6"
"PWY-6519","false","PWY-6519"
"Right_Parietal_Delta","false","Right_Parietal_Delta"
"tg_56:4","false","tg_56:4"
"PWY-6606","false","PWY-6606"
"tg_48:5","false","tg_48:5"
"PWY-2941","false","PWY-2941"
"threonine","false","threonine"
"st_27:2;o","false","st_27:2;o"
"histidine","false","histidine"
"Parietal_High_Gamma","false","Parietal_High_Gamma"
"Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_left","false","Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_left"
"CALVIN-PWY","false","CALVIN-PWY"
"LACTOSECAT-PWY","false","LACTOSECAT-PWY"
"Right_Lat_Frontal_Low_Gamma","false","Right_Lat_Frontal_Low_Gamma"
"PWY-5180","false","PWY-5180"
"PWY-5097","false","PWY-5097"
"PWY-6608","false","PWY-6608"
"NONMEVIPP-PWY","false","NONMEVIPP-PWY"
"fa_16:1","false","fa_16:1"
"GLUTORN-PWY","false","GLUTORN-PWY"
"tg_51:2","false","tg_51:2"
"Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_right","false","Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_right"
"PWY-7883","false","PWY-7883"
"pc_o-35:6","false","pc_o-35:6"
"tg_58:12","false","tg_58:12"
"PWY-8086","false","PWY-8086"
"leucine","false","leucine"
"fa_18:2","false","fa_18:2"
"fa_24:6","false","fa_24:6"
"PWY-7385","false","PWY-7385"
"PWY-6612","false","PWY-6612"
"PWY-5667","false","PWY-5667"
"PWY4FS-7","false","PWY4FS-7"
"pc_o-38:4","false","pc_o-38:4"
"PWY-5920","false","PWY-5920"
"UBISYN-PWY","false","UBISYN-PWY"
"tg_56:1","false","tg_56:1"
"pi_38:5","false","pi_38:5"
"pc_o-32:0","false","pc_o-32:0"
"PWY-6151","false","PWY-6151"
"tg_46:1","false","tg_46:1"
"Left_Lat_Frontal_Theta","false","Left_Lat_Frontal_Theta"
"pc_34:4","false","pc_34:4"
"PWY0-1221","false","PWY0-1221"
"Right_Parietal_High_Alpha","false","Right_Parietal_High_Alpha"
"Occipital_Beta","false","Occipital_Beta"
"Agent_used_after_defecating","false","Agent_used_after_defecating"
"fahfa_24:3;o","false","fahfa_24:3;o"
"pc_40:7","false","pc_40:7"
"Left_Temporal_Low_Alpha","false","Left_Temporal_Low_Alpha"
"Left_Temporal_High_Gamma","false","Left_Temporal_High_Gamma"
"Parietal_Low_Alpha","false","Parietal_Low_Alpha"
"PHOSLIPSYN-PWY","false","PHOSLIPSYN-PWY"
"CENTFERM-PWY","false","CENTFERM-PWY"
"KDO-NAGLIPASYN-PWY","false","KDO-NAGLIPASYN-PWY"
"lpc_20:1/0:0","false","lpc_20:1/0:0"
"Parabacteroides_distasonis","false","Parabacteroides_distasonis"
"Frontal_Central_High_Alpha","false","Frontal_Central_High_Alpha"
