feature	test_mean_abs_shap
surveillance:days_of_catchup	0.33
anthro:WLZ_WHZ	0.06
genetics:Height_PRS	0.04
mofa_mbiome:Factor15	0.04
mofa_mbiome:Factor3	0.02
mofa_metabolome:Factor13	0.02
mofa_mbiome:Factor7	0.02
glitter:glitter_seconds	0.01
sleep:Night_sleep	0.01
fcis:Total_FCIS	0.01
economics:Family_expenditure_food_clothes_utilities	0.01
genetics:IBD_CD_PRS	0.01
mofa_metabolome:Factor16	0.01
mofa_mbiome:Factor12	0.01
head:nasion_to_inion_measurement_cm	0.01
pots:Correction_score	0.01
mofa_mbiome:Factor1	0.01
genetics:Intelligent_PRS	0.01
genetics:IBD_UC_PRS	0.01
anthro:HC	0.01
genetics:EF_PRS	0.01
surveillance:base_temp	0.01
anthro:Weight	0.01
genetics:NAFLD_PRS	0.01
genetics:EA_PRS	0.01
mofa_mbiome:Factor11	0.01
mofa_metabolome:Factor2	0.01
mofa_mbiome:Factor2	0.01
mofa_metabolome:Factor3	0.01
mofa_metabolome:Factor9	0.01
mofa_mbiome:Factor9	0.01
mofa_metabolome:Factor12	0.01
pss:Overwhelmed_by_problems	0.01
mofa_metabolome:Factor6	0.01
surveillance:fail_no.failure	0.01
mofa_metabolome:Factor1	0.01
mofa_metabolome:Factor15	0.01
mofa_mbiome:Factor13	0.01
surveillance:comp_rice.and.curry	0.01
mofa_metabolome:Factor17	0.01
mofa_mbiome:Factor4	0.01
mofa_metabolome:Factor19	0.01
mofa_mbiome:Factor8	0.01
genetics:BMI_PRS	0.01
surveillance:ors	0.01
genetics:ADHD_PRS	0.01
mofa_mbiome:Factor6	0.01
mofa_mbiome:Factor10	0.00
wolkes:cooperation	0.00
mofa_metabolome:Factor4	0.00
sleep:Fall_asleep_time	0.00
surveillance:fail_child.or.parents.not.at.home	0.00
mofa_mbiome:Factor20	0.00
mofa_metabolome:Factor20	0.00
alpha_diversity:diversity_gini_simpson	0.00
surveillance:fail_child.refused.to.take	0.00
pss:Handling_everything_successfully	0.00
pss:Lack_control	0.00
economics:Monthly_total_expenditure	0.00
bayley:expressive_communication_score	0.00
mofa_metabolome:Factor7	0.00
mofa_mbiome:Factor19	0.00
anthro:Length	0.00
mofa_mbiome:Factor18	0.00
surveillance:comp_cookies.ruti.bread	0.00
alpha_diversity:Faiths_PD	0.00
surveillance:comp_others	0.00
surveillance:antibiotic	0.00
anthro:MUAC	0.00
alpha_diversity:dominance_gini	0.00
wolkes:activity	0.00
pss:Unexpectedly_upset	0.00
mofa_mbiome:Factor5	0.00
head:ear_to_ear_measurement_back_cm	0.00
surveillance:cough	0.00
head:ear_to_ear_measurement_top_head_cm	0.00
surveillance:comp_khichuri	0.00
mofa_metabolome:Factor10	0.00
head:ear_to_ear_measurement_front_cm	0.00
surveillance:comp_suji	0.00
mofa_metabolome:Factor14	0.00
pss:Everything_going_well	0.00
bayley:cognitive_score	0.00
head:head_circumference_cm	0.00
mofa_mbiome:Factor14	0.00
surveillance:diarrhoea	0.00
mofa_metabolome:Factor11	0.00
bayley:fine_motor_score	0.00
economics:Total_monthly_income	0.00
alpha_diversity:diversity_shannon	0.00
mofa_mbiome:Factor17	0.00
mofa_metabolome:Factor5	0.00
mofa_metabolome:Factor8	0.00
mofa_metabolome:Factor18	0.00
bayley:gross_motor_score	0.00
pots:Perseveration_score	0.00
economics:Household_heads_income	0.00
pss:Handling_upsets	0.00
wolkes:vocalisation	0.00
bayley:receptive_communication_score	0.00
alpha_diversity:observed	0.00
mofa_mbiome:Factor16	0.00
sleep:Bedtime_difficulty	0.00
wolkes:geneemotone	0.00
surveillance:zinc	0.00
pss:Angry_at_setbacks	0.00
pss:Anxious_or_stressed	0.00
surveillance:fever	0.00
wolkes:approach	0.00
economics:Mothers_income	0.00
pots:Total_stickers_found	0.00
surveillance:comp_tea.drinks.juice	0.00
surveillance:fail_child.is.sick	0.00
pss:Struggling_to_cope	0.00
sleep:Day_sleep	0.00
sleep:Times_woken_up	0.00
pss:Confident_handling_problems	0.00
pci:SNACK_TIME	0.00
surveillance:rash	0.00
surveillance:fail_other	0.00
surveillance:fail_parents.refused.to.feed	0.00
sleep:Sleep_problematic	0.00
surveillance:comp_none	0.00
surveillance:comp_halwa	0.00
pci:NO_TOY_PLAY	0.00
pci:BOOK_AND_TOY_FREE_PLAY	0.00
pci:DIVIDED_ATTENTION_TASK	0.00
surveillance:fail_child.vomiting	0.00
